"번호","사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","건물용도명","문화사업자구분명","시설면적","제작취급품목내용","주변환경명","최초등록시점","통로너비","전화번호","위치정보(X)","위치정보(Y)","인허가번호","상세영업상태명"
"15","씨지브이동래 제5관","부산광역시 동래구 온천동 153-8번지 SK허브스카이6층 ","부산광역시 동래구 중앙대로 1523, 8층 (온천동, SK허브스카이)","20061023","운영중","","","","","","607787","문화시설","영화상영관","","","유흥업소밀집지역","20061023","","559-5501","389888.65870200000  ","193639.04206900000  ","CDFF4220002006000005","영업중"
"16","씨지브이동래 제6관","부산광역시 동래구 온천동 153-8번지 SK허브스카이 6층 ","부산광역시 동래구 중앙대로 1523, 6층 (온천동, SK허브스카이)","20061023","운영중","","","","","","607787","문화시설","영화상영관","","","유흥업소밀집지역","20061023","","","389888.65870200000  ","193639.04206900000  ","CDFF4220002006000006","영업중"
"17","씨지브이동래 제7관","부산광역시 동래구 온천동 153-8번지 SK허브스카이 8층 ","부산광역시 동래구 중앙대로 1523, 8층 (온천동, SK허브스카이 )","20061023","운영중","","","","","","607787","문화시설","영화상영관","","","유흥업소밀집지역","20061023","","","389888.65870200000  ","193639.04206900000  ","CDFF4220002006000007","영업중"
"18","씨지브이동래 제8관","부산광역시 동래구 온천동 153-8번지 SK허브스카이8층 ","부산광역시 동래구 중앙대로 1523, 8층 (온천동, SK허브스카이)","20061023","운영중","","","","","","607787","문화시설","영화상영관","","","유흥업소밀집지역","20061023","","","389888.65870200000  ","193639.04206900000  ","CDFF4220002006000008","영업중"
"19","씨지브이동래 제9관","부산광역시 동래구 온천동 153-8번지 SK허브스카이8층 ","부산광역시 동래구 중앙대로 1523, 8층 (온천동, SK허브스카이)","20061023","운영중","","","","","","607787","문화시설","영화상영관","","","유흥업소밀집지역","20061023","","","389888.65870200000  ","193639.04206900000  ","CDFF4220002006000009","영업중"
"20","롯데시네마 동래관(제1관)","부산광역시 동래구 온천동 502-3번지 (10,11층) ","부산광역시 동래구 중앙대로 1393 (10,11)층 (온천동)","20080527","운영중","","","","","","","유통시설","영화상영관","","","아파트지역","20080527","1.7","","389173.57096900000  ","192560.31759200000  ","CDFF4220002008000001","영업중"
"21","롯데시네마 동래관(제2관)","부산광역시 동래구 온천동 502-3번지 (10,11층) ","부산광역시 동래구 중앙대로 1393 (10,11)층 (온천동)","20080527","운영중","","","","","","","유통시설","영화상영관","","","아파트지역","20080527","1.55","","389173.57096900000  ","192560.31759200000  ","CDFF4220002008000002","영업중"
"22","롯데시네마 동래관(제3관)","부산광역시 동래구 온천동 502-3번지 (10,11층) ","부산광역시 동래구 중앙대로 1393 (10,11)층 (온천동)","20080527","운영중","","","","","","","유통시설","영화상영관","","","아파트지역","20080527","1.5","","389173.57096900000  ","192560.31759200000  ","CDFF4220002008000003","영업중"
"23","롯데시네마 동래관(제4관)","부산광역시 동래구 온천동 502-3번지 (10,11층) ","부산광역시 동래구 중앙대로 1393 (10,11)층 (온천동)","20080527","운영중","","","","","","","유통시설","영화상영관","","","아파트지역","20080527","1.55","07074962416","389173.57096900000  ","192560.31759200000  ","CDFF4220002008000004","영업중"
"24","롯데시네마 동래관(제5관)","부산광역시 동래구 온천동 502-3번지 (10,11층) ","부산광역시 동래구 중앙대로 1393 (10,11)층 (온천동)","20080527","운영중","","","","","","","유통시설","영화상영관","","","아파트지역","20080527","1.45","07074962416","389173.57096900000  ","192560.31759200000  ","CDFF4220002008000005","영업중"
"25","롯데시네마 동래관(제6관)","부산광역시 동래구 온천동 502-3번지 (10,11층) ","부산광역시 동래구 중앙대로 1393 (10,11)층 (온천동)","20080527","운영중","","","","","","","유통시설","영화상영관","","","아파트지역","20080527","1.45","07074962416","389173.57096900000  ","192560.31759200000  ","CDFF4220002008000006","영업중"
"26","롯데시네마 동래관(제7관)","부산광역시 동래구 온천동 502-3번지 (10,11층) ","부산광역시 동래구 중앙대로 1393 (10,11)층 (온천동)","20080527","운영중","","","","","","","유통시설","영화상영관","","","아파트지역","20080527","1.45","07074962416","389173.57096900000  ","192560.31759200000  ","CDFF4220002008000007","영업중"
"27","롯데시네마 동래관(제8관)","부산광역시 동래구 온천동 502-3번지 (10,11층) ","부산광역시 동래구 중앙대로 1393 (10,11)층 (온천동)","20080527","운영중","","","","","","","유통시설","영화상영관","","","아파트지역","20080527","1.45","07074962416","389173.57096900000  ","192560.31759200000  ","CDFF4220002008000008","영업중"
"28","롯데시네마 동래관(제9관)","부산광역시 동래구 온천동 502-3번지 (10,11층) ","부산광역시 동래구 중앙대로 1393 (10,11)층 (온천동)","20080527","운영중","","","","","","","유통시설","영화상영관","","","아파트지역","20080527","1.45","07074962416","389173.57096900000  ","192560.31759200000  ","CDFF4220002008000009","영업중"
"29","롯데시네마 해운대 제1관","부산광역시 해운대구 좌동 1479-1번지 웅신시네아트 704-1 ","부산광역시 해운대구 해운대로 802 (좌동,웅신시네아트 704-1)","20050307","운영중","","","","","","","문화시설","영화상영관","","","","20050307","1","704-9871","398310.24345100000  ","188031.67198000000  ","CDFF4220002005000001","영업중"
"30","롯데시네마 해운대 제2관","부산광역시 해운대구 좌동 1479-1번지 웅신시네아트 704-1 ","부산광역시 해운대구 해운대로 802 (좌동,웅신시네아트 704-1)","20050307","운영중","","","","","","","문화시설","영화상영관","","","","20050307","1","704-9871","398310.24345100000  ","188031.67198000000  ","CDFF4220002005000002","영업중"
"31","롯데시네마 해운대 제3관","부산광역시 해운대구 좌동 1479-1번지 웅신시네아트 704-1 ","부산광역시 해운대구 해운대로 802 (좌동,웅신시네아트 704-1)","20050307","운영중","","","","","","","문화시설","영화상영관","","","","20050307","1","704-9871","398310.24345100000  ","188031.67198000000  ","CDFF4220002005000003","영업중"
"32","롯데시네마 해운대 제4관","부산광역시 해운대구 좌동 1479-1번지 웅신시네아트 704-1 ","부산광역시 해운대구 해운대로 802 (좌동,웅신시네아트 704-1)","20050307","운영중","","","","","","","문화시설","영화상영관","","","","20050307","","704-9871","398310.24345100000  ","188031.67198000000  ","CDFF4220002005000004","영업중"
"33","롯데시네마 해운대 제5관","부산광역시 해운대구 좌동 1479-1번지 웅신시네아트 704-1 ","부산광역시 해운대구 해운대로 802 (좌동,웅신시네아트 704-1)","20050307","운영중","","","","","","","문화시설","영화상영관","","","","20050307","1","704-9871","398310.24345100000  ","188031.67198000000  ","CDFF4220002005000005","영업중"
"34","롯데시네마 해운대 제6관","부산광역시 해운대구 좌동 1479-1번지 웅신시네아트 704-1 ","부산광역시 해운대구 해운대로 802 (좌동,웅신시네아트 704-1)","20050307","운영중","","","","","","","문화시설","영화상영관","","","","20050307","1","704-9871","398310.24345100000  ","188031.67198000000  ","CDFF4220002005000006","영업중"
"35","롯데시네마 해운대 제7관","부산광역시 해운대구 좌동 1479-1번지 웅신시네아트 704-1 ","부산광역시 해운대구 해운대로 802 (좌동,웅신시네아트 704-1)","20050307","운영중","","","","","","","문화시설","영화상영관","","","","20050307","1","704-9871","398310.24345100000  ","188031.67198000000  ","CDFF4220002005000007","영업중"
"36","롯데시네마 해운대 제8관","부산광역시 해운대구 좌동 1479-1번지 웅신시네아트 704-1 ","부산광역시 해운대구 해운대로 802 (좌동,웅신시네아트 704-1)","20050307","운영중","","","","","","","문화시설","영화상영관","","","","20050307","1","704-9871","398310.24345100000  ","188031.67198000000  ","CDFF4220002005000008","영업중"
"37","롯데시네마 해운대 제9관","부산광역시 해운대구 좌동 1479-1번지 웅신시네아트 704-1 ","부산광역시 해운대구 해운대로 802 (좌동,웅신시네아트 704-1)","20050307","운영중","","","","","","","문화시설","영화상영관","","","","20050307","1","704-9871","398310.24345100000  ","188031.67198000000  ","CDFF4220002005000009","영업중"
"38","롯데시네마 해운대 제10관","부산광역시 해운대구 좌동 1479-1번지 웅신시네아트 704-1 ","부산광역시 해운대구 해운대로 802 (좌동,웅신시네아트 704-1)","20050307","운영중","","","","","","","문화시설","영화상영관","","","","20050307","1","704-9871","398310.24345100000  ","188031.67198000000  ","CDFF4220002005000010","영업중"
"39","메가박스 해운대(장산) 컴포트 1관","부산광역시 해운대구 좌동 1467-4번지 NC백화점 8층 ","부산광역시 해운대구 해운대로 813, 8층 (좌동, NC백화점)","20060711","운영중","","","","","","","","영화상영관","","","","20060711","1","","398341.80263700000  ","188185.63277700000  ","CDFF4220002006000001","영업중"
"40","메가박스 해운대(장산) 키즈관","부산광역시 해운대구 좌동 1467-4번지 NC백화점 8층 ","부산광역시 해운대구 해운대로 813, 8층 (좌동, NC백화점)","20060711","운영중","","","","","","","","영화상영관","","","","20060711","1","","398341.80263700000  ","188185.63277700000  ","CDFF4220002006000002","영업중"
"41","메가박스 해운대(장산) 제3관","부산광역시 해운대구 좌동 1467-4번지 NC백화점 8층 ","부산광역시 해운대구 해운대로 813, 8층 (좌동, NC백화점)","20060711","운영중","","","","","","","","영화상영관","","","","20060711","1","","398341.80263700000  ","188185.63277700000  ","CDFF4220002006000003","영업중"
"42","메가박스 해운대(장산) 컴포트 4관","부산광역시 해운대구 좌동 1467-4번지 NC백화점 8층 ","부산광역시 해운대구 해운대로 813, 8층 (좌동, 지팝건축물)","20060711","운영중","","","","","","","","영화상영관","","","","20060711","1","","398341.80263700000  ","188185.63277700000  ","CDFF4220002006000004","영업중"
"43","메가박스 해운대(장산) 컴포트 5관","부산광역시 해운대구 좌동 1467-4번지 NC백화점 8층 ","부산광역시 해운대구 해운대로 813, 8층 (좌동, NC백화점)","20060711","운영중","","","","","","","","영화상영관","","","","20060711","1","","398341.80263700000  ","188185.63277700000  ","CDFF4220002006000005","영업중"
"44","메가박스 해운대(장산) 컴포트 6관","부산광역시 해운대구 좌동 1467-4번지 NC백화점 8층 ","부산광역시 해운대구 해운대로 813, 8층 (좌동, NC백화점)","20060711","운영중","","","","","","","","영화상영관","","","","20060711","1","","398341.80263700000  ","188185.63277700000  ","CDFF4220002006000006","영업중"
"45","메가박스 해운대(장산) 컴포트 7관","부산광역시 해운대구 좌동 1467-4번지 NC백화점 8층 ","부산광역시 해운대구 해운대로 813, 8층 (좌동, NC백화점)","20060711","운영중","","","","","","","","영화상영관","","","","20060711","1","","398341.80263700000  ","188185.63277700000  ","CDFF4220002006000007","영업중"
"46","롯데시네마 센텀시티 제1관","부산광역시 해운대구 우동 1496번지 ","부산광역시 해운대구 센텀남대로 59 (우동)","20071204","운영중","","","","","","","문화시설","영화상영관","","","기타","20071204","1","","394153.80075500000  ","188019.10086100000  ","CDFF4220002007000001","영업중"
"47","롯데시네마 센텀시티 제2관","부산광역시 해운대구 우동 1496번지 ","부산광역시 해운대구 센텀남대로 59 (우동)","20071204","운영중","","","","","","","문화시설","영화상영관","","","기타","20071204","1","","394153.80075500000  ","188019.10086100000  ","CDFF4220002007000002","영업중"
"48","롯데시네마 센텀시티  제3관","부산광역시 해운대구 우동 1496번지 ","부산광역시 해운대구 센텀남대로 59 (우동)","20071204","운영중","","","","","","","","영화상영관","","","","20071204","1","","394153.80075500000  ","188019.10086100000  ","CDFF4220002007000003","영업중"
"49","롯데시네마 센텀시티 제4관","부산광역시 해운대구 우동 1496번지 ","부산광역시 해운대구 센텀남대로 59 (우동)","20071204","운영중","","","","","","","","영화상영관","","","","20071204","1","","394153.80075500000  ","188019.10086100000  ","CDFF4220002007000004","영업중"
"50","롯데시네마 센텀시티 제5관","부산광역시 해운대구 우동 1496번지 ","부산광역시 해운대구 센텀남대로 59 (우동)","20071204","운영중","","","","","","","","영화상영관","","","","20071204","1","","394153.80075500000  ","188019.10086100000  ","CDFF4220002007000005","영업중"
"51","롯데시네마 센텀시티 제6관","부산광역시 해운대구 우동 1496번지 ","부산광역시 해운대구 센텀남대로 59 (우동)","20071204","운영중","","","","","","","","영화상영관","","","","20071204","1","","394153.80075500000  ","188019.10086100000  ","CDFF4220002007000006","영업중"
"52","롯데시네마 센텀시티 제7관","부산광역시 해운대구 우동 1496번지 ","부산광역시 해운대구 센텀남대로 59 (우동)","20071204","운영중","","","","","","","","영화상영관","","","","20071204","","","394153.80075500000  ","188019.10086100000  ","CDFF4220002007000007","영업중"
"53","롯데시네마 센텀시티 제8관","부산광역시 해운대구 우동 1496번지 ","부산광역시 해운대구 센텀남대로 59 (우동)","20071204","운영중","","","","","","","","영화상영관","","","","20071204","1","","394153.80075500000  ","188019.10086100000  ","CDFF4220002007000008","영업중"
"54","롯데시네마 센텀시티 제9관","부산광역시 해운대구 우동 1496번지 ","부산광역시 해운대구 센텀남대로 59 (우동)","20071204","운영중","","","","","","","","영화상영관","","","","20071204","1","","394153.80075500000  ","188019.10086100000  ","CDFF4220002007000009","영업중"
"55","롯데시네마 센텀시티  제10관","부산광역시 해운대구 우동 1496번지 ","부산광역시 해운대구 센텀남대로 59 (우동)","20071204","운영중","","","","","","","","영화상영관","","","","20071204","1","","394153.80075500000  ","188019.10086100000  ","CDFF4220002007000010","영업중"
"56","CGV센텀시티 4DX관","부산광역시 해운대구 우동 1495번지 ","부산광역시 해운대구 센텀남대로 35, 7층 (우동)","20090302","운영중","","","","","","","문화시설","","","","기타","20090302","1","","394015.45385100000  ","187900.93961700000  ","CDFF4220002009000001","영업중"
"57","CGV 센텀시티 2관","부산광역시 해운대구 우동 1495번지 신세계백화점 7층 ","부산광역시 해운대구 센텀남대로 35 (우동,신세계백화점 7층)","20090302","운영중","","","","","","","문화시설","","","","기타","20090302","1","051-745-2883","394015.45385100000  ","187900.93961700000  ","CDFF4220002009000002","영업중"
"58","CGV 센텀시티 3관","부산광역시 해운대구 우동 1495번지 ","부산광역시 해운대구 센텀남대로 35, 7층 (우동)","20090302","운영중","","","","","","","문화시설","","","","기타","20090302","1","","394015.45385100000  ","187900.93961700000  ","CDFF4220002009000003","영업중"
"59","CGV 센텀시티 4관","부산광역시 해운대구 우동 1495번지 ","부산광역시 해운대구 센텀남대로 35, 7층 (우동)","20090302","운영중","","","","","","","문화시설","","","","기타","20090302","1","","394015.45385100000  ","187900.93961700000  ","CDFF4220002009000004","영업중"
"60","CGV 센텀시티 5관","부산광역시 해운대구 우동 1495번지 ","부산광역시 해운대구 센텀남대로 35, 7층 (우동)","20090302","운영중","","","","","","","문화시설","","","","기타","20090302","1","","394015.45385100000  ","187900.93961700000  ","CDFF4220002009000005","영업중"
"61","CGV 센텀시티 6관","부산광역시 해운대구 우동 1495번지 ","부산광역시 해운대구 센텀남대로 35, 7층 (우동)","20090302","운영중","","","","","","","문화시설","","","","기타","20090302","1","","394015.45385100000  ","187900.93961700000  ","CDFF4220002009000006","영업중"
"62","CGV 센텀시티 7관[CGV 아트하우스]","부산광역시 해운대구 우동 1495번지 ","부산광역시 해운대구 센텀남대로 35, 7층 (우동)","20090302","운영중","","","","","","","문화시설","","","","기타","20090302","1","","394015.45385100000  ","187900.93961700000  ","CDFF4220002009000007","영업중"
"63","CGV 센텀시티 STARIUM관","부산광역시 해운대구 우동 1495번지 신세계백화점 8층 ","부산광역시 해운대구 센텀남대로 35 (우동,신세계백화점 8층)","20090302","운영중","","","","","","","문화시설","","","","기타","20090302","1","051-745-2883","394015.45385100000  ","187900.93961700000  ","CDFF4220002009000008","영업중"
"64","CGV 센텀시티 CDC 살롱S관","부산광역시 해운대구 우동 1495번지 ","부산광역시 해운대구 센텀남대로 35, 10층 (우동)","20090302","운영중","","","","","","","문화시설","","","","기타","20090302","1","","394015.45385100000  ","187900.93961700000  ","CDFF4220002009000009","영업중"
"65","CGV 센텀시티 CDC B관","부산광역시 해운대구 우동 1495번지 ","부산광역시 해운대구 센텀남대로 35, 5층 (우동)","20090302","운영중","","","","","","","문화시설","","","","기타","20090302","1","","394015.45385100000  ","187900.93961700000  ","CDFF4220002009000010","영업중"
"66","소극장(CINEMA 2)","부산광역시 해운대구 우동 1467번지 영화의전당 ","부산광역시 해운대구 수영강변대로 120 (우동)","20111109","운영중","","","","","","","문화시설","","","","기타","20111109","","051-780-6051","393787.86262000000  ","188142.62823700000  ","CDFF4220002011000001","영업중"
"67","중극장(CINEMA 1)","부산광역시 해운대구 우동 1467번지 ","부산광역시 해운대구 수영강변대로 120 (우동)","20111109","운영중","","","","","","","문화시설","","","","기타","20111109","1","051-780-6501","393787.86262000000  ","188142.62823700000  ","CDFF4220002011000002","영업중"
"68","시네마테크(CINEMA THEQUE)","부산광역시 해운대구 우동 1467번지 영화의전당 ","부산광역시 해운대구 수영강변대로 120 (우동)","20111109","운영중","","","","","","","문화시설","","","","학교정화(상대)","20111109","","051-780-6501","393787.86262000000  ","188142.62823700000  ","CDFF4220002011000003","영업중"
"69","메가박스 검단점 COMFORT 1관","인천광역시 서구 당하동 1098-5번지 ","인천광역시 서구 서곶로 788 (당하동, STAR SPACE)","20150916","운영중","","","","","","","","","","","학교정화(상대)","20150916","","032-565-5660","171326.56385900000  ","454334.03373700000  ","CDFF4220002015000001","영업중"
"70","메가박스 검단점 2관","인천광역시 서구 당하동 1098-5번지 ","인천광역시 서구 서곶로 788 (당하동, STAR SPACE)","20150916","운영중","","","","","","","","","","","학교정화(상대)","20150916","","0325-565-5660","171326.56385900000  ","454334.03373700000  ","CDFF4220002015000002","영업중"
"71","메가박스 검단점 3관","인천광역시 서구 당하동 1098-5번지 ","인천광역시 서구 서곶로 788 (당하동, STAR SPACE)","20150916","운영중","","","","","","","","","","","학교정화(상대)","20150916","","032-565-5660","171326.56385900000  ","454334.03373700000  ","CDFF4220002015000003","영업중"
"72","메가박스 검단점 4관","인천광역시 서구 당하동 1098-5번지 ","인천광역시 서구 서곶로 788 (당하동, STAR SPACE)","20150916","운영중","","","","","","","","","","","학교정화(상대)","20150916","","032-565-5660","171326.56385900000  ","454334.03373700000  ","CDFF4220002015000004","영업중"
"73","메가박스 검단점 5관","인천광역시 서구 당하동 1098-5번지 ","인천광역시 서구 서곶로 788 (당하동, STAR SPACE)","20150916","운영중","","","","","","","","","","","학교정화(상대)","20150916","","032-565-5660","171326.56385900000  ","454334.03373700000  ","CDFF4220002015000005","영업중"
"74","메가박스사천 (제1관)","경상남도 사천시 사천읍 수석리 331번지 ","경상남도 사천시 사천읍 항공로 6","20150911","운영중","","","","","","","근린생활시설","","","","기타","20150911","","","298638              ","176311              ","CDFF4220002015000001","영업중"
"75","메가박스사천 (제2관)","경상남도 사천시 사천읍 수석리 331번지 ","경상남도 사천시 사천읍 항공로 6","20150911","운영중","","","","","","","근린생활시설","","","","기타","20150911","","","298638              ","176311              ","CDFF4220002015000002","영업중"
"76","메가박스사천 (제3관)","경상남도 사천시 사천읍 수석리 331-7번지 ","경상남도 사천시 사천읍 항공로 8","20150911","운영중","","","","","","","근린생활시설","","","","기타","20150911","","","298591              ","176311              ","CDFF4220002015000003","영업중"
"77","메가박스사천 (제5관)","경상남도 사천시 사천읍 수석리 331-7번지 ","경상남도 사천시 사천읍 항공로 8","20150911","운영중","","","","","","","근린생활시설","","","","기타","20150911","","","298591              ","176311              ","CDFF4220002015000004","영업중"
"78","메가박스중앙(주) 문경 제1관","경상북도 문경시 모전동 859-2번지 ","경상북도 문경시 모전로 65 (모전동, 홈플러스 1층)","20150923","운영중","","","","","","","유통시설","","","","주택가주변","20150923","1.1","070-7017-9480","306529.60317500000  ","343874.87010800000  ","CDFF4220002015000001","영업중"
"79","메가박스중앙(주) 문경 제2관","경상북도 문경시 모전동 859-2번지 ","경상북도 문경시 모전로 65 (모전동, 홈플러스 1층)","20150923","운영중","","","","","","","유통시설","","","","주택가주변","20150923","1.15","070-7017-9480","306529.60317500000  ","343874.87010800000  ","CDFF4220002015000002","영업중"
"80","메가박스중앙(주) 문경 제3관","경상북도 문경시 모전동 859-2번지 ","경상북도 문경시 모전로 65, 1층 (모전동, 홈플러스)","20150923","운영중","","","","","","","유통시설","","","","","20150923","1.2","070-7017-9480","306529.60317500000  ","343874.87010800000  ","CDFF4220002015000003","영업중"
"81","메가박스 의정부민락점 6관","경기도 의정부시 민락동 메가타워 메가박스 5~8층 ","경기도 의정부시 오목로205번길 55 (민락동)","20160513","운영중","","","","","","","","","","","","20160513","","070-4880-2068","208383              ","471508              ","CDFF4220002016000002","영업중"
"82","메가박스 의정부 민락점 5관","경기도 의정부시 민락동 메가타워 메가박스 ","경기도 의정부시 오목로205번길 55 (민락동)","20160513","운영중","","","","","","","","","","","","20160513","","070-4880-2068","208383              ","471508              ","CDFF4220002016000003","영업중"
"83","메가박스 의정부 민락점 4관","경기도 의정부시 민락동 메가타워 ","경기도 의정부시 오목로205번길 55, 5~6층 (민락동, 메가타워)","20160513","운영중","","","","","","","","","","","","20160513","","070-4880-2068","208383              ","471508              ","CDFF4220002016000004","영업중"
"84","메가박스 의정부 민락점 3관","경기도 의정부시 민락동 메가타워 ","경기도 의정부시 오목로205번길 55, 7~8층 (민락동, 메가타워)","20160513","운영중","","","","","","","","","","","","20160513","","070-4880-2068","208383              ","471508              ","CDFF4220002016000005","영업중"
"85","메가박스 의정부 민락점 2관","경기도 의정부시 민락동 메가타워 메가박스 ","경기도 의정부시 오목로205번길 55 (민락동)","20160513","운영중","","","","","","","","","","","","20160513","","070-4880-2068","208383              ","471508              ","CDFF4220002016000006","영업중"
"86","CGV 대전탄방 1관","대전광역시 서구 탄방동 744번지 ","대전광역시 서구 문정로 85, 7층 (탄방동, 세이탄방점)","20160524","운영중","","","","","","","문화시설","","","","","20160524","","042-486-0521","234903.87287900000  ","316621.57063800000  ","CDFF4220002016000001","영업중"
"87","CGV 대전탄방 6관","대전광역시 서구 탄방동 744번지 ","대전광역시 서구 문정로 85, 10층 (탄방동, 세이탄방점)","20160524","운영중","","","","","","","문화시설","","","","","20160524","","02-371-6670","234903.87287900000  ","316621.57063800000  ","CDFF4220002016000002","영업중"
"88","CGV 대전탄방 5관","대전광역시 서구 탄방동 744번지 ","대전광역시 서구 문정로 85, 7층 (탄방동, 세이탄방점)","20160524","운영중","","","","","","","문화시설","","","","","20160524","","02-371-6670","234903.87287900000  ","316621.57063800000  ","CDFF4220002016000003","영업중"
"89","CGV 대전탄방 2관","대전광역시 서구 탄방동 744번지 ","대전광역시 서구 문정로 85, 7층 (탄방동, 세이탄방점)","20160524","운영중","","","","","","","문화시설","","","","","20160524","","02-371-6670","234903.87287900000  ","316621.57063800000  ","CDFF4220002016000004","영업중"
"90","CGV 대전탄방 4관","대전광역시 서구 탄방동 744번지 ","대전광역시 서구 문정로 85, 7층 (탄방동, 세이탄방점)","20160524","운영중","","","","","","","문화시설","","","","","20160524","","02-371-6670","234903.87287900000  ","316621.57063800000  ","CDFF4220002016000005","영업중"
"91","CGV 대전탄방 3관","대전광역시 서구 탄방동 744번지 ","대전광역시 서구 문정로 85, 7층 (탄방동, 세이탄방점)","20160524","운영중","","","","","","","문화시설","","","","","20160524","","02-371-6670","234903.87287900000  ","316621.57063800000  ","CDFF4220002016000006","영업중"
"92","롯데시네마 의정부민락 7관","경기도 의정부시 민락동 804-6번지 해동타워 8,9층 ","경기도 의정부시 천보로 44 (민락동, 해동타워 8,9층)","20160817","운영중","","","","","","","문화시설","","","","","20160817","","070-7425-5071~5","208416              ","471313              ","CDFF4220002016000007","영업중"
"93","롯데시네마 의정부민락 1관","경기도 의정부시 민락동 804-6번지 해동타워 8,9층 ","경기도 의정부시 천보로 44 (민락동, 해동타워 8,9층)","20160817","운영중","","","","","","","문화시설","","","","","20160817","","070-7425-5071~5","208416              ","471313              ","CDFF4220002016000008","영업중"
"94","롯데시네마 의정부민락2관","경기도 의정부시 민락동 804-6번지 해동타워 8,9층 ","경기도 의정부시 천보로 44 (민락동, 해동타워 8,9층)","20160817","운영중","","","","","","","문화시설","","","","","20160817","","070-7425-5071~5","208416              ","471313              ","CDFF4220002016000009","영업중"
