"번호","사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","건물용도명","기존게임업외업종명","문화사업자구분명","문화체육업종명","소방시설여부","시설면적","제공게임물명","주변환경명","지역구분명","총게임기수","최초등록시점","전화번호","위치정보(X)","위치정보(Y)","인허가번호","상세영업상태명"
"11","짱게임파크","서울특별시 은평구 갈현동 398-4번지 1층 ","서울특별시 은평구 연서로29길 8-8  (갈현동,1층)","20080121","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","167.04","전체이용가","","일반상업지역","50","","02-352-3545","192911.90113600000  ","457713.39348900000  ","CDFF2241142008000013","영업중"
"12","스마일뽑기샵 마곡점","서울특별시 강서구 마곡동 757-3번지 ","서울특별시 강서구 마곡중앙5로1길 20, 102호 (마곡동, 마곡나루역보타닉비즈타워)","20170713","운영중","","","","","","","","","유통관련업","청소년게임제공업","","39.93","전체이용가","","","17","","","184609              ","451839              ","CDFF2241142017000039","영업중"
"13","스마일게임장","서울특별시 은평구 대조동 185-66번지 1층 ","서울특별시 은평구 연서로 230-8  (대조동,1층)","20091027","운영중","","","","","","","","","유통관련업","청소년게임제공업","","30.28","전체이용가","","","","","","193029.24416400000  ","457633.68552500000  ","CDFF2241142009000034","영업중"
"14","신화게임랜드","서울특별시 은평구 역촌동 19-53번지 ","서울특별시 은평구 역말로 72 (역촌동)","20130530","운영중","","","","","","","","","유통관련업","청소년게임제공업","","180","전체이용가","","","50","","","192785.09994800000  ","456281.49052800000  ","CDFF2241142013000001","영업중"
"15","짱게임","서울특별시 은평구 갈현동 398-4번지 102호","서울특별시 은평구 연서로29길 8-8, 1층 102호 (갈현동)","20130921","운영중","","","","","","","","","유통관련업","청소년게임제공업","","39.2","전체이용가","","","","","","192911.90113600000  ","457713.39348900000  ","CDFF2241142013000004","영업중"
"16","마법게임랜드","서울특별시 은평구 갈현동 396-8번지 2층 ","서울특별시 은평구 통일로 855-16, 2층 (갈현동)","20140508","운영중","","","","","","","","","유통관련업","청소년게임제공업","","119.47","전체이용가","","","50","","","192959.73919600000  ","457773.18909200000  ","CDFF2241142014000002","영업중"
"17","몬과 친구들","세종특별자치시 보람동 700-71번지 엔젤타워 117호","세종특별자치시 한누리대로 2149, 엔젤타워 117호 (보람동)","20171212","운영중","","","","","","","","","유통관련업","청소년게임제공업","","43.1","전체이용가","","","7","","","225723              ","330811              ","CDFF2241142017000024","영업중"
"18","전동게임장","세종특별자치시 전동면 노장리 649-1번지 ","세종특별자치시 전동면 전동로 8","20171212","운영중","","","","","","","","","유통관련업","청소년게임제공업","","97.35","전체이용가","","","40","","","223919.58498500000  ","350656.97362400000  ","CDFF2241142017000025","영업중"
"19","펀잇 센텀시티점","부산광역시 해운대구 우동 1495번지 신세계백화점 7층 ","부산광역시 해운대구 센텀남대로 35, 7층 (우동, 신세계백화점)","20090302","운영중","","","","","","","","","유통관련업","청소년게임제공업","","269.3","전체이용가","","","43","","051-731-7508","394015.45385100000  ","187900.93961700000  ","CDFF2241142009000010","영업중"
"20","스타존게입샵","부산광역시 해운대구 반송동 250-697번지 ","부산광역시 해운대구 아랫반송로59번길 47 (반송동)","20131011","운영중","","","","","","","","","유통관련업","청소년게임제공업","","92.4","전체이용가","","","","","","395943.69954300000  ","194014.71776800000  ","CDFF2241142013000005","영업중"
"21","아쿠아 게임랜드","부산광역시 해운대구 중동 1411-4번지 ","부산광역시 해운대구 해운대해변로 266 (중동)","20080214","운영중","","","","","","","","","유통관련업","청소년게임제공업","","56.13","","","","13","","","396908.17976100000  ","186912.75552800000  ","CDFF2241142008000001","영업중"
"22","우리동네오락실","경기도 이천시 호법면 단천리 864번지 ","경기도 이천시 호법면 프리미엄아울렛로 177-74 (롯데 프리미엄 아울렛)","20170731","운영중","","","","","","","","","유통관련업","청소년게임제공업","","144.27","전체이용가","","","","","","235493.80305100000  ","415970.26430400000  ","CDFF2241142017000013","영업중"
"23","알라딘게임장","충청북도 청주시 흥덕구 봉명동 796-1번지 205 ","충청북도 청주시 흥덕구 1순환로577번길 3, 2층 205호 (봉명동)","20150904","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","170.82","전체이용가","","","","","","241306.40185900000  ","349356.59317600000  ","CDFF2241142015000017","영업중"
"24","킹덤게임장","경기도 남양주시 화도읍 마석우리 295-7번지 ","경기도 남양주시 화도읍 마석로 29, 2층","20150904","운영중","","","","","","","","","유통관련업","청소년게임제공업","","83.2","전체이용가","","","40","","","227045.49047300000  ","461580.79758600000  ","CDFF2241142015000007","영업중"
"25","영노리터","경상남도 밀양시 내이동 911-4번지 ","경상남도 밀양시 약산로 51, 2층 (내이동)","20151006","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","387.15","전체이용가","기타","일반주거지역","","","","358832.14120700000  ","223191.20449700000  ","CDFF2241142015000002","영업중"
"26","슈스케","서울특별시 광진구 화양동 498-1번지 ","서울특별시 광진구 광나루로 418 (화양동)","20150917","운영중","","","","","","","","","유통관련업","청소년게임제공업","","135.71","전체이용가","","","","","","206691.25856700000  ","449653.18876800000  ","CDFF2241142015000005","영업중"
"27","모이세 게임랜드","광주광역시 서구 치평동 1255-5번지 (4층) ","광주광역시 서구 상무평화로 101, 4층 (치평동)","20150915","운영중","","","","","","","","","유통관련업","청소년게임제공업","","207.16","전체이용가","","","40","","","186323.91601000000  ","183553.07826100000  ","CDFF2241142015000005","영업중"
"28","씽씽쏭쏭동전노래방","대구광역시 달서구 송현동 1930-44번지 1층 ","대구광역시 달서구 송현동1길 5, 1층 (송현동)","20150922","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","73.32","전체이용가","기타","일반주거지역","12","","","340047.09278800000  ","260295.06561600000  ","CDFF2241142015000010","영업중"
"29","골드게임파크","서울특별시 서대문구 창천동 512-1번지 ","서울특별시 서대문구 연희로 14, 지층 (창천동, 삼성빌딩)","20150923","운영중","","","","","","","","","유통관련업","청소년게임제공업","","165.72","전체이용가","","","","","","193538.59745500000  ","451174.81644100000  ","CDFF2241142015000003","영업중"
"30","가왕게임존","충청남도 아산시 신창면 읍내리 582-10번지 ","충청남도 아산시 신창면 순천향로 23","20150930","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","306","전체이용가","기타","일반주거지역","","","","194129.88871000000  ","363877.60132600000  ","CDFF2241142015000002","영업중"
"31","코코 동전 노래 게임장","강원도 화천군 화천읍 하리 48-9번지 ","강원도 화천군 화천읍 중앙로 16 (롯데리아)","20150918","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","100.31","전체이용가","기타","일반상업지역","","","","261905.31508000000  ","511817.02279500000  ","CDFF2241142015000001","영업중"
"32","짱구오락실","서울특별시 강서구 화곡동 1115-8번지 정원빌딩 3층 ","서울특별시 강서구 공항대로46길 57, 3층 (화곡동, 정원빌딩)","20160203","운영중","","","","","","","","","유통관련업","청소년게임제공업","","141.3","전체이용가","","","","","","186924.44346000000  ","450453.85927100000  ","CDFF2241142016000002","영업중"
"33","HK 엔터테인먼트","대전광역시 유성구 덕명동 600-12번지 1층 ","대전광역시 유성구 학하서로121번길 163, 1층 (덕명동)","20160202","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","105","전체이용가","","","14","","","226917.59895100000  ","316731.02577100000  ","CDFF2241142016000001","영업중"
"34","삼성게임장","대구광역시 북구 태전동 584-15번지 ","대구광역시 북구 칠곡중앙대로46길 30, 2층 (태전동)","20160126","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","133.57","전체이용가","기타","일반주거지역","40","","","339927.94332000000  ","270132.06031400000  ","CDFF2241142016000002","영업중"
"35","골드게임랜드","부산광역시 동래구 온천동 135-4번지 ","부산광역시 동래구 금강로 129 (온천동, 문화온천관광호텔)","20160205","운영중","","","","","","","","","유통관련업","청소년게임제공업","","119.75","전체이용가","","","40","","","389395.21965600000  ","193518.64979700000  ","CDFF2241142016000002","영업중"
"36","봉 게임장","강원도 원주시 학성동 267-9번지 ","강원도 원주시 학성길 110, 2층 (학성동)","20160513","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","88.2","전체이용가","기타","일반주거지역","30","","","283619.53127900000  ","428675.78787200000  ","CDFF2241142016000009","영업중"
"37","위즐","경상남도 고성군 고성읍 동외리 288-2번지 ","경상남도 고성군 고성읍 동외로 157, 1층 104호","20160512","운영중","","","","","","","","","유통관련업","청소년게임제공업","","273.58","전체이용가","","일반상업지역","17","","","321000              ","164864              ","CDFF2241142016000002","영업중"
"38","골드게임랜드","대전광역시 서구 정림동 583번지 ","대전광역시 서구 정림서로 206, 지하층 (정림동)","20160512","운영중","","","","","","","","","유통관련업","청소년게임제공업","","360.34","전체이용가","","","27","","","232573.50524500000  ","312060.07756700000  ","CDFF2241142016000012","영업중"
"39","꾀꼬리 코인노래","경기도 부천시 고강동 350-8번지 ","경기도 부천시 역곡로490번길 5, 3층 (고강동)","20160613","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","99.9","전체이용가","","","13","","","183703              ","447377              ","CDFF2241142016000005","영업중"
"40","MAGIC CAMP(매직캠프) 안동점","경상북도 안동시 삼산동 173번지 ","경상북도 안동시 서동문로 174-3, 1층 (삼산동)","20160504","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","157.17","전체이용가","","일반상업지역","22","","054-901-1022","354972.43727500000  ","342240.82196100000  ","CDFF2241142016000002","영업중"
"41","놀이터 게임장","경기도 오산시 원동 776-10번지 ","경기도 오산시 원동로37번길 37, 1층 (원동, 구성빌딩)","20160607","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","66","전체이용가","기타","일반상업지역","13","","","206247.75336200000  ","405137.24862500000  ","CDFF2241142016000005","영업중"
"42","지니동전노래방","","경상북도 청도군 청도읍 고수산복길 7-6, 1층","20160518","운영중","","","","","","","","","유통관련업","청소년게임제공업","","80.04","전체이용가","","","","","","357405.83272000000  ","240230.61421700000  ","CDFF2241142016000001","영업중"
"43","해피 게임랜드","전라북도 전주시 완산구 중화산동2가 660-2번지 ","전라북도 전주시 완산구 한두평4길 12-6 (중화산동2가)","20160617","운영중","","","","","","","","","유통관련업","청소년게임제공업","","142.1","전체이용가","","","40","","","211223.14476800000  ","257551.31631400000  ","CDFF2241142016000015","영업중"
"44","뽑기요","충청남도 천안시 동남구 다가동 30번지 상가동 110호","충청남도 천안시 동남구 풍세로 933, 상가동 110호 (다가동, 주공4단지아파트)","20160608","운영중","","","","","","","","","유통관련업","청소년게임제공업","","31.87","전체이용가","","","7","","","213395.65295900000  ","366118.02381000000  ","CDFF2241142016000008","영업중"
"45","서대구게임랜드","대구광역시 서구 중리동 37-6번지 ","대구광역시 서구 국채보상로 188, 2층 (중리동)","20160623","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","164.91","전체이용가","기타","근린상업지역","40","","","340129.39825900000  ","264683.59847700000  ","CDFF2241142016000003","영업중"
"46","뽀비뽀바","경기도 광주시 곤지암읍 삼리 106-15번지 ","경기도 광주시 곤지암읍 평촌길 35-15, 1층 (삼원빌딩)","20160817","운영중","","","","","","","","","유통관련업","청소년게임제공업","","96","전체이용가","","","13","","","228875              ","428272              ","CDFF2241142016000008","영업중"
"47","뽀끼뽀꼬","경기도 수원시 장안구 연무동 19-2번지 ","경기도 수원시 장안구 창훈로 70-3 (연무동)","20160812","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","147","전체이용가","","","20","","","202418              ","421766              ","CDFF2241142016000017","영업중"
"48","나를뽑아줘","경기도 안산시 단원구 고잔동 539번지 108호","경기도 안산시 단원구 예술대학로 20, 108호 (고잔동, 전원빌딩)","20160824","운영중","","","","","","","","","유통관련업","청소년게임제공업","","73.22","전체이용가","","","14","","","185493              ","424093              ","CDFF2241142016000015","영업중"
"49","인형뽑기","인천광역시 중구 중앙동4가 2-10번지 ","인천광역시 중구 신포로 21-2 (중앙동4가)","20160722","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","41.55","전체이용가","기타","일반상업지역","11","","","166793.18952500000  ","441358.77661000000  ","CDFF2241142016000002","영업중"
"50","아이픽스 샵","부산광역시 해운대구 좌동 1479-1번지 웅신시네아트 701-24 ","부산광역시 해운대구 해운대로 802, 701-24호 (좌동, 웅신시네아트)","20160722","운영중","","","","","","","","","유통관련업","청소년게임제공업","","16.32","전체이용가","","","5","","","398310.24345100000  ","188031.67198000000  ","CDFF2241142016000002","영업중"
"51","No.1 뽑기방","경기도 안양시 만안구 안양동 674-145번지 ","경기도 안양시 만안구 안양로292번길 8, 1층 (안양동)","20160722","운영중","","","","","","","","","유통관련업","청소년게임제공업","","30","전체이용가","","","10","","","193070              ","432947              ","CDFF2241142016000006","영업중"
"52","뽑기의 달인","충청남도 천안시 동남구 신방동 1532번지 ","충청남도 천안시 동남구 통정4로 10, 1층 (신방동)","20160802","운영중","","","","","","","","","유통관련업","청소년게임제공업","","56.42","전체이용가","","","10","","","211672              ","363658              ","CDFF2241142016000011","영업중"
"53","추억의뽑기방","울산광역시 중구 성남동 226-43번지 ","울산광역시 중구 학성로 66 (성남동)","20160901","운영중","","","","","","","","","유통관련업","청소년게임제공업","","4.95","전체이용가","","","6","","","410230.68187000000  ","231088.36649600000  ","CDFF2241142016000006","영업중"
"54","토이팩토리","인천광역시 부평구 부평동 193-38번지 1층 ","인천광역시 부평구 부평문화로80번길 19-1, 1층 (부평동)","20160913","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","92.25","전체이용가","유흥업소밀집지역","일반상업지역","25","","","175664.65717100000  ","443794.74357200000  ","CDFF2241142016000008","영업중"
"55","다 뽑자","대구광역시 달서구 두류동 486-1번지 ","대구광역시 달서구 야외음악당로39길 62 (두류동, 신내당시장아파트)","20160913","운영중","","","","","","","","","유통관련업","청소년게임제공업","","30.94","전체이용가","","준주거지역","7","","","340363.38994900000  ","263028.72214900000  ","CDFF2241142016000012","영업중"
"56","인형뽑기","대구광역시 달서구 이곡동 1213-1번지 ","대구광역시 달서구 이곡서로 21, 1층 137호 (이곡동)","20160913","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","29.21","전체이용가","","일반상업지역","13","","","335919.28682600000  ","262863.46376700000  ","CDFF2241142016000013","영업중"
"57","준겜","경기도 동두천시 지행동 721-2번지 104호","경기도 동두천시 동두천로 119 (지행동, 지행역프라자)","20160901","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","46.8","전체이용가","기타","일반상업지역","9","","","204805.37913200000  ","488021.37563900000  ","CDFF2241142016000004","영업중"
"58","뽀꼬가고","인천광역시 부평구 부평동 152-1번지 1층 101호","인천광역시 부평구 대정로 66, 1층 101호 (부평동, 다운타운일레븐)","20160906","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","93.6","전체이용가","유흥업소밀집지역","일반상업지역","19","","","175829.22686900000  ","443825.86073700000  ","CDFF2241142016000005","영업중"
"59","게임팡","경기도 화성시 봉담읍 와우리 26-12번지 ","경기도 화성시 봉담읍 와우로73번길 6, B113호 (태천센타)","20160906","운영중","","","","","","","","","유통관련업","청소년게임제공업","","47.58","전체이용가","","","6","","","197710.90291900000  ","412776.16296600000  ","CDFF2241142016000014","영업중"
"60","뽑생뽑사","경상북도 상주시 무양동 286-8번지 ","경상북도 상주시 삼백로 78 (무양동)","20160906","운영중","","","","","","","","","유통관련업","청소년게임제공업","","19.44","전체이용가","","일반상업지역","","","","303246              ","324770              ","CDFF2241142016000002","영업중"
"61","리가플스방","서울특별시 종로구 관철동 19-1번지 5층 ","서울특별시 종로구 종로12길 14, 5층 (관철동, 해덕빌딩)","20160907","운영중","","","","","","","","","유통관련업","청소년게임제공업","","233.59","전체이용가","","","27","","","198726.47225900000  ","452212.10448500000  ","CDFF2241142016000002","영업중"
"62","짱뽑기방","부산광역시 해운대구 반여동 1361-1번지 ","부산광역시 해운대구 선수촌로21번길 7 (반여동)","20160922","운영중","","","","","","","","","유통관련업","청소년게임제공업","","33.25","전체이용가","","","5","","","392909.41185100000  ","190891.63797400000  ","CDFF2241142016000003","영업중"
"63","잡아방","서울특별시 강북구 미아동 55-46번지 ","서울특별시 강북구 월계로3길 68 (미아동)","20160922","운영중","","","","","","","","","유통관련업","청소년게임제공업","","23.1","전체이용가","","","","","","202783.33679600000  ","457008.20507600000  ","CDFF2241142016000010","영업중"
"64","오빠뽑아줘","전라북도 군산시 산북동 3547-7번지 102호","전라북도 군산시 칠성로 142, 102호 (산북동)","20160922","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","70","전체이용가","기타","일반주거지역","9","","","170979              ","274178              ","CDFF2241142016000008","영업중"
"65","무한뽑기(2호점)","인천광역시 남동구 구월동 1463번지 205호","인천광역시 남동구 성말로 10, 2층 205호 (구월동, 효명프라자)","20160929","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","39.75","전체이용가","유흥업소밀집지역","일반상업지역","","","","173587.95075400000  ","438463.20972800000  ","CDFF2241142016000018","영업중"
"66","뽑기왕","","서울특별시 강북구 노해로8길 29 (수유동, 현대크리스탈)","20160929","운영중","","","","","","","","","유통관련업","청소년게임제공업","","31.82","전체이용가","","","","","","202136.52324000000  ","459879.21936300000  ","CDFF2241142016000011","영업중"
"67","토이엔펀샵","서울특별시 강동구 성내동 11-17번지 ","서울특별시 강동구 천호옛14길 23-7 (성내동)","20160830","운영중","","","","","","","","","유통관련업","청소년게임제공업","","24","전체이용가","","","","","","211203.76285300000  ","448562.96176900000  ","CDFF2241142016000005","영업중"
"68","뽑GO","서울특별시 동작구 노량진동 206-18번지 ","서울특별시 동작구 만양로14길 40-1, 1층 (노량진동)","20161011","운영중","","","","","","","","","유통관련업","청소년게임제공업","","27.2","전체이용가","","","","","","195260.27379300000  ","445859.48301100000  ","CDFF2241142016000013","영업중"
"69","대일사","경상북도 영천시 야사동 192-4번지 ","경상북도 영천시 야사시장길 42 (야사동)","20161010","운영중","","","","","","","","","유통관련업","청소년게임제공업","","100","전체이용가","","","8","","331-2707","375720.15623000000  ","276831.57427400000  ","CDFF2241142016000003","영업중"
"70","즐겜","경기도 용인시 기흥구 구갈동 595번지 ","경기도 용인시 기흥구 강남로 8 (구갈동, 우성메디아피아)","20161011","운영중","","","","","","","","","유통관련업","청소년게임제공업","","42.73","전체이용가","","","9","","","211289.62268200000  ","419083.53272900000  ","CDFF2241142016000025","영업중"
"71","인형천국","충청북도 청주시 청원구 우암동 20-2번지 ","충청북도 청주시 청원구 수암로 98-15, 1층 (우암동)","20161011","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","81.4","전체이용가","","일반주거지역","17","","","244181.41141900000  ","350369.79552400000  ","CDFF2241142016000021","영업중"
"72","게임박스 멀티샵","경기도 동두천시 지행동 721번지 ","경기도 동두천시 지행로 60, 112호 (지행동, 효원월드타워)","20160803","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","103.56","전체이용가","기타","근린상업지역","14","","","204733.96354700000  ","488022.01755700000  ","CDFF2241142016000002","영업중"
"73","DOLLY DOLLY(돌리돌리)","서울특별시 강남구 역삼동 813번지 ","서울특별시 강남구 봉은사로2길 29 (역삼동)","20160902","운영중","","","","","","","","","유통관련업","청소년게임제공업","","61.96","전체이용가","","","22","","","202329.91650100000  ","444816.81936900000  ","CDFF2241142016000002","영업중"
"74","픽미픽미","서울특별시 관악구 신림동 1433-86번지 1층 ","서울특별시 관악구 남부순환로 1597, 1층 (신림동, 대영빌딩)","20160928","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","23.4","전체이용가","유흥업소밀집지역","일반상업지역","10","","","193621.26343000000  ","442761.86874900000  ","CDFF2241142016000010","영업중"
"75","뽀끼뽀꼬(매탄점)","경기도 수원시 영통구 매탄동 1267-5번지 ","경기도 수원시 영통구 효원로 393, 108호 (매탄동, 밀래니엄프라자)","20161012","운영중","","","","","","","","","유통관련업","청소년게임제공업","","26.4","전체이용가","","","8","","","203898              ","417459              ","CDFF2241142016000037","영업중"
"76","토이N조이","경기도 수원시 장안구 연무동 250-19번지 ","경기도 수원시 장안구 월드컵로428번길 3 (연무동)","20161012","운영중","","","","","","","","","유통관련업","청소년게임제공업","","26.44","전체이용가","","","6","","","202202              ","421325              ","CDFF2241142016000038","영업중"
"77","인형천국게임랜드","충청북도 청주시 서원구 사창동 454-1번지 ","충청북도 청주시 서원구 1순환로672번길 46, 1층 (사창동)","20161012","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","116.85","전체이용가","","일반주거지역","24","","","240928.91082900000  ","348371.96866800000  ","CDFF2241142016000022","영업중"
"78","겜블게임랜드","대구광역시 서구 비산동 896-1번지 ","대구광역시 서구 서대구로62길 18 (비산동)","20160810","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","31.82","전체이용가","기타","준주거지역","7","","","340771.89480700000  ","266353.85951100000  ","CDFF2241142016000005","영업중"
"79","코리아게임랜드","대구광역시 서구 비산동 1254-2번지 ","대구광역시 서구 서대구로 356 (비산동)","20160810","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","67.85","전체이용가","기타","일반상업지역","10","","","340896.64356700000  ","266771.91977700000  ","CDFF2241142016000006","영업중"
"80","크레인월드","경기도 성남시 중원구 성남동 3489번지 ","경기도 성남시 중원구 둔촌대로101번길 27, 1층 (성남동, 엠타워)","20160810","운영중","","","","","","","","","유통관련업","청소년게임제공업","","51.75","전체이용가","","","16","","","211487.96823900000  ","436977.82789100000  ","CDFF2241142016000002","영업중"
"81","태평뽑기샵","서울특별시 동작구 사당동 138-4번지 ","서울특별시 동작구 동작대로27다길 29, 1층 (사당동, 서광시티뷰)","20160902","운영중","","","","","","","","","유통관련업","청소년게임제공업","","46.02","전체이용가","","","","","","198289.79229000000  ","442982.11603500000  ","CDFF2241142016000005","영업중"
"82","짱 놀이터","충청북도 음성군 맹동면 두성리 1362번지 110호,1층 ","충청북도 음성군 맹동면 대하4길 10","20160907","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","44.4","전체이용가","기타","일반상업지역","12","","","248395              ","378771              ","CDFF2241142016000005","영업중"
"83","더 뽑기","","충청북도 제천시 내제로 219 (청전동)","20160823","운영중","","","","","","","","","유통관련업","청소년게임제공업","","75","전체이용가","","일반주거지역","14","","","307529.40656600000  ","405953.63259500000  ","CDFF2241142016000001","영업중"
"84","신데렐라","서울특별시 서대문구 대현동 37-18번지 ","서울특별시 서대문구 이화여대5길 23, 1층 (대현동)","20160830","운영중","","","","","","","","","유통관련업","청소년게임제공업","","33","전체이용가","","","14","","","195090.42800300000  ","450969.21208400000  ","CDFF2241142016000002","영업중"
"85","테트리스 게임존","경상남도 김해시 부원동 605-1번지 1층 ","경상남도 김해시 가락로7번길 13, 1층 (부원동)","20160830","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","92.04","전체이용가","기타","일반상업지역","15","","","371192              ","193598              ","CDFF2241142016000009","영업중"
"86","JJ","경기도 부천시 중동 1133-12번지 101호 ","경기도 부천시 조마루로291번길 56 (중동, 대성빌딩)","20160823","운영중","","","","","","","","","유통관련업","청소년게임제공업","","30.61","전체이용가","","","15","","","180084              ","444231              ","CDFF2241142016000015","영업중"
"87","게임존","경기도 평택시 서정동 814-6번지 ","경기도 평택시 특구로 22 (서정동)","20160921","운영중","","","","","","","","","유통관련업","청소년게임제공업","","92","전체이용가","","","14","","","205641.12860000000  ","396491.12410400000  ","CDFF2241142016000016","영업중"
"88","뽑기팡팡","충청남도 천안시 동남구 대흥동 102-10번지 CGV ","충청남도 천안시 동남구 명동길 47, CGV 2층 105호 (대흥동)","20160921","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","45","전체이용가","","","10","","","213240.40827600000  ","367681.43486100000  ","CDFF2241142016000015","영업중"
